name,views,char_length,packages
Covid-19 Mentioned Drugs Analysis Vol 3.0,260,1727,"['numpy', 'pandas', 'glob.glob', 'json', 'matplotlib.pyplot', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'nltk.corpus.stopwords', 'nltk', 'nltk.word_tokenize', 'nltk.sent_tokenize', 'nltk.stem.LancasterStemmer', 'nltk.stem.WordNetLemmatizer', 'nltk.stem.PorterStemmer', 'textblob.TextBlob', 'tqdm.notebook.tqdm', 'plotly.express', 'plotly.figure_factory', 'plotly.graph_objs', 'os']"
Question answering using Semantic roles,96,63,"['pandas', 'spacy.displacy', 're', 'termcolor.colored', 'collections.Counter']"
"summary page virus genetics, origin, and evolution",206,3111,"['numpy', 'pandas', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML', 'nltk.PorterStemmer']"
ElasticSearch/SciBERT ensemble,264,4610,"['os', 'pandas', 'json', 'pprint', 'collections.Counter', 're', 'numpy', 'tqdm.notebook.tqdm', 'datetime', 'random', 'string', 'sys', 'tensorflow', 'collections', 'nltk', 'bert.tokenization', 'tabulate.tabulate', 'IPython.display.HTML', 'IPython.display.display', 'ipywidgets']"
Covid(RAN) - Research & Analytics Notebook,122,6601,"['pandas', 'matplotlib.pyplot', 'numpy', 'glob#Retrievethefile/pathname', 're#Regular-Expressiontofetchdatafromtext', 'json#ReadingtheJSONDocuments', 'string#Fordoingstringoperations', 'sklearn.feature_extraction.text.HashingVectorizer#PerformingHashingVectorization', 'sklearn.feature_extraction.text.TfidfVectorizer#Tfidfvectorfortextanalysis', 'sklearn.model_selection.train_test_split#Fortrain-test-splitforthedataset', 'sklearn.ensemble.RandomForestClassifier#Random-forest-classifier', 'sklearn.neighbors.KNeighborsClassifier#KNNClassifier', 'sklearn.svm#SupportVectorMachineclassifier', 'sklearn.metrics#Moduletocheckthemodelaccuracy', 'keras.models.Sequential', 'keras.layers.Dense', 'keras.layers.Dropout', 'keras.optimizers.SGD', 'plotly.express', 'plotly.offline', 'sklearn.feature_extraction.text.HashingVectorizer', 'sklearn.model_selection.train_test_split', 'sklearn.ensemble.RandomForestClassifier', 'sklearn.metrics', 'sklearn.svm', 'sklearn.neighbors.KNeighborsClassifier', 'matplotlib.image']"
Insights - focus and experimental findings,91,11679,"['numpy', 'pandas', 'os', 'glob', 'json', 'nltk', 'nltk.word_tokenize', 'nltk.corpus.stopwords', 'random', 'matplotlib.pyplot', 'nltk.corpus.wordnet', 'itertools']"
DoxCompass-Visualization and EDA,82,639,"['numpy', 'pandas', 'string', 'json', 'nltk', 'os', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.cluster.AgglomerativeClustering', 'sklearn.metrics.pairwise', 'scipy.sparse.hstack', 'sklearn.manifold.TSNE', 'matplotlib.pyplot', 'random.shuffle', 'gensim.models', 'seaborn', 'logging', 'bokeh.io.output_notebook', 'bokeh.io.show', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.manifold.Isomap', 'sklearn.manifold.MDS', 'sklearn.manifold.SpectralEmbedding', 'sklearn.preprocessing', 'sklearn.pipeline.Pipeline', 'sklearn.pipeline.FeatureUnion', 'sklearn.decomposition.NMF', 'sklearn.decomposition.LatentDirichletAllocation', 'operator', 'warnings', 'fa2.ForceAtlas2', 'gensim', 'gensim.models.Phrases', 'gensim.models.word2vec.LineSentence', 'gensim.corpora.Dictionary', 'gensim.corpora.MmCorpus', 'gensim.models.ldamulticore.LdaMulticore', 'pyLDAvis', 'pyLDAvis.gensim', 'igraph.Graph', 'igraph.plot', 'networkx', 'bokeh.models.ColumnDataSource', 'bokeh.models.HoverTool', 'bokeh.models.LinearColorMapper', 'bokeh.models.CustomJS', 'bokeh.palettes.Category20', 'bokeh.transform.linear_cmap', 'bokeh.models.widgets.Slider', 'bokeh.models.widgets.Dropdown', 'bokeh.io.output_file', 'bokeh.transform.transform', 'bokeh.plotting.figure', 'bokeh.layouts.column', 'bokeh.layouts.row', 'bokeh.models.RadioButtonGroup', 'bokeh.models.TextInput', 'bokeh.layouts.gridplot', 'bokeh.models.Div', 'bokeh.models.Paragraph', 'bokeh.layouts.widgetbox']"
COVID-19 : Biomedical Semantic Search - Q&A System,208,557,"['numpy', 'pandas', 'glob', 'json', 're', 'os', 'warnings', 'matplotlib.pyplot', 'sklearn.decomposition.PCA', 'sklearn.manifold.TSNE', 'sklearn.metrics.pairwise.cosine_similarity', 'tqdm.tqdm_notebook', 'tqdm.tnrange', 'tqdm.auto.tqdm', 'bokeh.models.ColumnDataSource', 'bokeh.models.HoverTool', 'bokeh.models.LinearColorMapper', 'bokeh.models.CustomJS', 'bokeh.palettes.Category20', 'bokeh.transform.linear_cmap', 'bokeh.io.output_file', 'bokeh.io.show', 'bokeh.transform.transform', 'bokeh.io.output_notebook', 'bokeh.plotting.figure', 'bokeh.layouts.column', 'bokeh.models.RadioButtonGroup', 'bokeh.models.TextInput', 'bokeh.layouts.gridplot', 'bokeh.models.Div', 'bokeh.models.Paragraph', 'bokeh.layouts.widgetbox', 'IPython.display.HTML', 'notebook', 'ipywidgets.interact', 'ipywidgets.interactive', 'ipywidgets.fixed', 'ipywidgets.interact_manual', 'ipywidgets.interactive_output', 'ipywidgets.VBox', 'IPython.html.widgets', 'IPython.display.display', 'IPython.display.Image', 'IPython.display.Markdown', 'IPython.display.clear_output', 'spacy', 'en_core_web_md', 'flair.embeddings.ELMoEmbeddings', 'flair.embeddings.PooledFlairEmbeddings', 'flair.embeddings.Sentence', 'flair.embeddings.DocumentPoolEmbeddings', 'typing.List', 'sklearn.cluster.MiniBatchKMeans', 'matplotlib.pyplotasplt', 'seaborn', 'random', 'ast.literal_eval', 'cdqa.utils.filters.filter_paragraphs', 'cdqa.pipeline.QAPipeline', 'cdqa.utils.download.download_model']"
CORD-19 Citation Network with Deduping,234,5829,"['pyspark.sql.SparkSession', 'pyspark.sql.functionsasF', 'matplotlib.pyplot', 'pyhash', 'sys', 'pyspark.ml.linalg.Vectors', 'pyspark.ml.linalg.VectorUDT', 'pyspark.ml.feature.MinHashLSH', 'networkx', 'pandas', 'tqdm.tqdm', 'pyspark.sql.Window', 'pyspark.sql.typesasT', 'gc']"
CORD-19 Articles Clustering,139,1049,"['pandas', 'numpy', 'matplotlib.pyplotasplt', 'tensorflow', 'tensorflow_hub', 'plotly.graph_objects', 'sklearn.cluster.KMeans', 'matplotlib.cm', 'sklearn.decomposition.PCA', 'datetime.datetime', 'plotly.express', 'networkx', 'sklearn.metrics.pairwise.cosine_similarity', 'igraph', 'plotly.graph_objs', 'nltk', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'nltk.tokenize.RegexpTokenizer', 'wordcloud.WordCloud']"
Paper_and_Lines_extractor,100,418,"['numpy', 'os', 'json', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 're', 'string', 'sklearn.metrics.pairwise.cosine_similarity', 'rank_bm25.BM25Okapi', 'spacy', 'scispacy', 'nltk.tokenize.sent_tokenize', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'matplotlib.pyplot', 'pandas', 'en_core_sci_md', 'IPython.display.display', 'IPython.display.Markdown']"
Training Set Labeling Jump-start (UMLS Linking),164,2531,"['glob.glob', 'json', 'pandas', 'tqdm.notebook.tqdm', 'spacy', 'scispacy', 'en_core_sci_sm', 'scispacy.umls_linking.UmlsEntityLinker', 'scispacy.abbreviation.AbbreviationDetector', 'statistics.mean', 'math', 'plotly_express']"
CORD-19: Disease-Chemical Co-occurrence Matrix,231,928,"['scispacy', 'en_ner_bc5cdr_md', 'MulticoreTSNE.MulticoreTSNEasTSNE', 'os', 'numpy', 'pandas', 'tqdm.notebook.tqdm', 'sklearn.feature_extraction.text.TfidfVectorizer', 'matplotlib.pyplot', 'spacy', 'spacy.displacy', 'collections.Counter', 'pickle', 'collections.defaultdict', 'seaborn']"
COVID-19 Papers Text Summarization,91,1152,[]
Medical NER : Using Spacy,531,1350,"['json', '__future__.unicode_literals', '__future__.print_function', 'random', 'pathlib.Path', 'spacy.util.minibatch', 'spacy.util.compounding', 'spacy', 'sys', 'numpy', 'pandas', 'os', 'collections.Counter', 'matplotlib.pyplot']"
BioBERT Embeddings + Demo,211,1986,"['torch', 'transformers.BertTokenizer', 'transformers.BertModel', 'argparse', 'logging', 'transformers.BertConfig', 'transformers.BertForPreTraining', 'transformers.load_tf_weights_in_bert', 'sklearn.metrics.pairwise.cosine_similarity', 'umap', 'os', 'json', 'bokeh.plotting.figure', 'bokeh.plotting.show', 'bokeh.plotting.output_notebook', 'bokeh.models.HoverTool', 'bokeh.models.ColumnDataSource', 'bokeh.models.CategoricalColorMapper', 'bokeh.palettes.Spectral10', 'bokeh.palettes.Category20c', 'bokeh.palettes.magma', 'pandas', 'collections', 'en_core_sci_sm']"
[CORD-19] Parse Data to Flat Format ,158,210,"['logging', 'gc', 'glob', 'multiprocessing', 'os', 'typing.Tuple', 'numpy', 'pandas', 'tqdm.notebook.tqdm']"
Exploring_corona_abstracts,146,1665,"['numpy', 'pandas', 'os', 'sklearn.feature_extraction.text', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'scispacy', 'spacy', 'en_core_sci_sm', 'scipy.spatial.distance.jensenshannon', 'joblib', 'pyLDAvis', 'pyLDAvis.sklearn']"
Analyzing the COVID-19 corpus with LDA and PCoA ,241,588,"['numpy', 'pandas', 'json', 'os', 'nltk.tokenize.word_tokenize', 'gensim.sklearn_api.phrases.PhrasesTransformer', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'pyLDAvis.enable_notebook', 'pyLDAvis.display', 'pyLDAvis.sklearn']"
III-COVID19-Collecting Virus Proteins from Uniprot,266,1656,"['pandas', 'matplotlib.pyplot', 'json']"
get_data_from_all_papers,144,2,"['numpy', 'pandas', 'json', 'os']"
COVID-19 Reference public data,303,2,[]
covid-19_create_dataset,210,31,"['numpy', 'pandas', 'os', 'json', 'glob', 'sys']"
ACE2_protein_receptor_information,208,46,"['numpy', 'pandas']"
cord_19 ,63,2,"['os', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'json']"
COVID-19 in OH: measuring the response 2020_03_16,190,1505,"['numpy', 'pandas', 'sklearn.model_selection.train_test_split', 'matplotlib.pyplot', 'matplotlib', 'seaborn', 'warnings', 'datetime.timedelta', 'datetime.date']"
Relevance: TFIDF ngrams of tagged sentences,23,40278,[]
A Brief Talk on COVID-19,102,9274,"['numpy', 'pandas', 'glob', 'json', 'matplotlib.pyplot', 'os', 'IPython.display.Image', 'sklearn.preprocessing.StandardScaler']"
"A Simple, Direct COVID-19 QA engine",48,9359,"['numpy', 'pandas', 'os', 'json', 'glob', 'sys', 'urllib', 'pickle', 'gc', 're', 'random', 'os.path', 'summa.summarizer.summarize', 'summa.keywords.keywords', 'ast.literal_eval', 'cdqa.utils.filters.filter_paragraphs', 'cdqa.utils.download.download_model', 'cdqa.utils.download.download_bnpp_data', 'cdqa.pipeline.cdqa_sklearn.QAPipeline', 'cdqa.utils.converters.generate_squad_examples', 'vaderSentiment.vaderSentiment.SentimentIntensityAnalyzer', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML']"
Getting_Started_with_Cosine_Similarity,61,1194,"['pandas', 'numpy', 'matplotlib.pyplot', 'seaborn', 're', 'json', 'gc', 'glob.glob', 'scispacy', 'spacy', 'en_ner_bc5cdr_md', 'sklearn.metrics.pairwise.cosine_similarity', 'IPython.core.display.display', 'IPython.core.display.HTML']"
How Good is a Drug Against The Corona Virus,120,2218,[]
COVID-19 Data Preprocessing,191,773,"['numpy', 'pandas', 'os', 'json', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'wordcloud.ImageColorGenerator', 'PIL.Image', 're', 'matplotlib.pyplot', 'matplotlib.style']"
Hybrid Search Model - Annoy bio-w2v + BM25 EDA,74,1451,"['sklearn.feature_extraction.text.CountVectorizer', 'sklearn.metrics.pairwise.cosine_similarity', 'nltk.stem.WordNetLemmatizer', 'nltk.stem.PorterStemmer', 'nltk.tokenize.word_tokenize', 'sklearn.cluster.DBSCAN', 'nltk.corpus.stopwords', 'collections.Counter', 'matplotlib.pyplot', 'tensorflow', 'pyLDAvis.gensim', 'tqdm.notebook.tqdm', 'seaborn', 'pandas', 'numpy', 'pyLDAvis', 'gensim', 'spacy', 'os', 'gensim.models.KeyedVectors', 'gensim.models.keyedvectors', 'multiprocessing', 're', 'json', 'pprint.pprint', 'copy.deepcopy', 'annoy.AnnoyIndex', 'functools.lru_cache', 'pathlib.Path', 'pathlib.PurePath', 'requests', 'requests.exceptions.HTTPError', 'requests.exceptions.ConnectionError', 'ipywidgets.interact', 'ipywidgets', 'nltk', 'rank_bm25.BM25Okapi', 'typing.List', 'typing.NoReturn', 'typing.Union', 'typing.Tuple', 'typing.Optional', 'typing.Text', 'typing.Generic', 'typing.Callable', 'typing.Dict', 'pickle', 'gzip', 'random', 'datetime.datetime', 'collections.defaultdict', 'unidecode', 'gensim.summarization.bm25.BM25', 'IPython.display.display']"
Search system for top article using wikipedia DB,99,811,"['numpy', 'pandas', 'os', 'ipywidgets.interact', 'ipywidgets', 'IPython.display.display', 'subprocess.check_output', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'matplotlib', 'matplotlib.pyplot', 'plotly.express', 'pprint']"
Sentence similarity,96,609,"['numpy', 'json', 'os', 'tqdm.tqdm', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'nltk', 'tensorflow.compat.v1', 'tensorflow_hub', 'matplotlib.pyplot']"
COVID-related v4,136,1105,"['pandas', 'numpy', 'matplotlib.pyplot', 'seaborn', 'sklearn.model_selection.train_test_split', 'sklearn.linear_model.LinearRegression', 'sklearn.metrics']"
CORD-19 ngrams insights origin evolution,127,6445,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'tqdm.notebook.tqdm', 'nltk.corpus.stopwords', 'numpy', 'random', 'string', 're', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'matplotlib.pyplot', 'pandas', 'collections', 'nltk.util.ngrams', 'nltk', 'networkx', 'seaborn', 'warnings']"
Visualise and Calculate word frequencies COVID-19,374,221,[]
COVID19_ABSG_AD,31,502,"['numpy', 'pandas', 'os', 'pprint', 'collections.OrderedDict', 'random', 'networkx', 'matplotlib.pyplot', 'matplotlib.font_manager.weight_dict']"
CORONA Challenge - Analysing Incubation Time in R,187,3242,[]
CORD-19 Keyword Search in Abstracts,94,137,"['os', 'numpy', 'pandas', 'time', 'warnings']"
Participations by country,55,2,"['os', 'json', 'tqdm.tqdm', 'pandas', 'collections.Counter', 'pycountry', 'plotly.offline.download_plotlyjs', 'plotly.offline.init_notebook_mode', 'plotly.offline.plot', 'plotly.offline.iplot', 'plotly.graph_objs']"
Unsupervised Text Segment Group Discovery,62,203,[]
Build CSV of Reference Entries,42,206,"['pandas', 'os', 'json']"
Worldwide_Data_and_Graphs,146,526,"['numpy', 'pandas', 'pandas_profiling.ProfileReport', 'os']"
CORD-19 Simple Parsing to Dataframes,290,395,"['numpy', 'pandas', 'json', 'os', 'os.walk']"
"CORD-19:EDA,duplicated papers discovery,resolution",65,2810,"['os', 'pandas', 'numpy', 'functools.reduce', 'matplotlib.pyplot', 'time', 'IPython.display.display']"
Parquet and BigQuery dataset for CORD-19,106,175,"['pyspark.sql.functions.lit', 'pyspark.sql.types.(', 'pyspark.sql.SparkSession', 'pandas', 're', 'glob', 'google.cloud.storage', 'google.cloud.bigquery']"
COVID-19 clustering (Infersent-UMAP-HDBScan),73,898,"['numpy', 'pandas', 'glob', 'json', 'ast.literal_eval', 'torch', 'InferSent.models.InferSent', 'nltk.tokenize.sent_tokenize', 'umap.umap_', 'matplotlib.pyplot', 'seaborn', 'hdbscan']"
Naive Lookup / Save Documents,105,1297,"['pandas', 'numpy', 'matplotlib.pyplot', 'glob', 'time', 'shutil', 'os', 'stat', 'sys']"
Interactive Abstract and Expert Finder,182,3096,"['numpy', 'pandas', 'os', 'glob', 'json', 'pickle', 'string', 'nltk', 'nltk.stem.WordNetLemmatizer', 'nltk.corpus.wordnet', 'nltk.tokenize.sent_tokenize#', 'nltk.tokenize.word_tokenize', 'nltk.corpus.stopwords', 'time', 'multiprocessing.Pool', 'multiprocessing', 'collections.Counter', 'itertools.chain', 'operator', 'gensim.models.phrases.Phrases', 'gensim.models.phrases.Phraser', 'gensim.models.doc2vec.Doc2Vec', 'gensim.models.doc2vec.TaggedDocument', 'itertools', 'collections', 'random', 'gensim.corpora.Dictionary', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.metrics.pairwise.cosine_similarity', 'scipy.sparse', 'corextopic.corextopicasct', 'corextopic.vis_topicasvt#jupyternotebookswillcomplainmatplotlibisbeingloadedtwice', 'matplotlib.pyplot', 'ipywidgets.interact', 'ipywidgets']"
CORD-19: Search Papers Referring to Antivirals,72,2417,"['numpy', 'pandas', 'os', 'json', 'glob', 'matplotlib.pyplot', 'sklearn.feature_extraction.text.CountVectorizer', 'spacy']"
coronavirus_jargon_vocabulary,208,729,"['numpy', 'pandas', 'os', 'json', 'multiprocessing.Pool', 'random', 'pickle', 're', 'functools.reduce']"
COVID19 Challenge Notebook,214,335,"['numpy', 'pandas', 'os', 'json', 'nltk', 'nltk.corpus.stopwords', 'nltk.stem.PorterStemmer', 'nltk.tokenize.word_tokenize', 'nltk.tokenize.sent_tokenize', 'spacy']"
Pandemic Ethics - Covid19,500,9358,"['IPython.display.Image', 'numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'plotly.graph_objs', 'plotly.offline', 'plotly.express', 'os', 'json', 'wordcloud.WordCloud', 'wordcloud.ImageColorGenerator']"
CORD-19 Duplicate body_text.text,43,292,"['json', 'pathlib.Path', 'hashlib', 'collections.defaultdict']"
Quick summary and integrated task detail,120,19900,[]
Exploring_corona_competition,86,1738,"['numpy', 'pandas', 'os', 'sklearn.feature_extraction.text', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'scispacy', 'spacy', 'en_core_sci_sm', 'scipy.spatial.distance.jensenshannon', 'joblib', 'pyLDAvis', 'pyLDAvis.sklearn']"
CORD-19-research-challenge - Using NLP Search,165,178,"['numpy', 'pandas', 'json', 'os', 'pprint', 'copy.deepcopy', 'tqdm.notebook.tqdm', 're', 'nltk', 'nltk.tokenize.word_tokenize', 'nltk.stem.lancaster.LancasterStemmer', 'tflearn', 'tensorflow', 'random', 'string', 'unicodedata', 'sys', 'sklearn.metrics.precision_score', 'whoosh.fields.Schema', 'whoosh.fields.TEXT', 'whoosh.fields.ID', 'whoosh.index']"
COVID Papers,277,73,"['numpy', 'pandas', 'os', 'glob', 'json', 'os.path', 'PIL.Image', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'wordcloud.ImageColorGenerator', 'matplotlib.pyplot', 'warnings']"
bag of words apply for abstract and text fields,74,529,"['nltk', 'random', 'string', 'bs4', 'urllib.request', 're', 'os', 'numpy', 'pandas']"
"CORD-19: EDA, LDA and BERT (unsupervised)",430,1473,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'pathlib.Path', 'glob', 'json', 'collections.defaultdict', 'nltk.corpus.stopwords']"
01 Exploring The Folder-Structure,61,440,"['os', 'pandas']"
CORVID-19 TRACKING THE KENYA SPREAD,91,2,"['google.cloud.storage', 'google.cloud.bigquery']"
Checkout the COVID 19 Word2Vec model,179,81,['gensim.models.Word2Vec']
CORD-19 : publication analysis,132,249,"['pandas', 'glob', 'datetime', 'json', 're', 'numpy', 'bokeh.io.output_notebook', 'bokeh.io.push_notebook', 'bokeh.io.show', 'bokeh.io.save', 'bokeh.io.output_file', 'bokeh.plotting.figure', 'bokeh.models.ColumnDataSource', 'bokeh.models.HoverTool', 'bokeh.models.DatetimeTickFormatter', 'bokeh.models.NumeralTickFormatter', 'bokeh.palettes.Set1_9aspalette', 'ipywidgets.interact', 'ipywidgets.IntSlider', 'ipywidgets']"
War on Covid-19,123,7732,"['IPython.display.Image', 'numpy', 'pandas', 'time', 'datetime.datetime', 'datetime.timedelta', 'matplotlib.pyplot', 'seaborn', 'os', 'json']"
COVID-19: Journal Analysis and Wordcloud,115,224,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'plotly.graph_objects', 'plotly.offline', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'warnings']"
COVID-19 - Russia,284,317,"['numpy', 'pandas', 'seaborn', 'matplotlib.pyplot', 'os', 'pandas.plotting.register_matplotlib_converters']"
pd.read_csv,140,67,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'collections.Counter', 'functools.reduce', 'nltk', 'nltk.corpus.stopwords', 're', 'nltk.tokenize.word_tokenize', 'string']"
SpaCy: Aspect Based and Compound Nouns Key Words,282,241,"['os', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'warnings', 're', 'random', 'nltk', 'matplotlib', 'matplotlib.ticker.PercentFormatter', 'seaborn', 'plotly.offline', 'plotly.graph_objs', 'plotly.tools', 'nltk.tokenize.RegexpTokenizer', 'nltk.stem.porter.PorterStemmer', 'gensim.corpora', 'gensim.models', 'gensim', 'bs4.BeautifulSoup', 'nltk.tokenize.WordPunctTokenizer', 'datetime', 'spacy', 'spacy.displacy', 'en_core_web_sm', 'tqdm.tqdm']"
CoronaVirus,108,206,"['numpy', 'pandas', 'PyPDF2', 'os', 'json']"
First-Notebook-CORD-19-Research,130,83,"['os', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'sklearn.feature_extraction.text.CountVectorizer', 'warnings', 'ipywidgets.interact']"
CORD-19 beginner EDA,648,636,"['os', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.express', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'collections.Counter', 'nltk.corpus.stopwords', 'json', 'sklearn.feature_extraction.text.CountVectorizer', 'warnings']"
Convert COVID-19 papers to Entity Vectors,27,1480,"['os', 'sys', 'csv', 'string', 'datetime.datetimeasdt', 'json', 'hashlib', 'warnings', 'pickle', 'math', 'time', 'pandas', 'numpy', 'scipy', 'scipy.sparse', 'os.listdir', 'pathlib.Path#python3way', 'os.path.isfile', 'os.path.join', 'scispacy', 'spacy']"
COVID-2019-ID Paper version,35,1679,"['numpy', 'pandas', 'os', 'sys', 'matplotlib.pyplot', 'glob', 'json', 're', 'matplotlib.cm', 'sklearn.cluster.MiniBatchKMeans', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.PCA', 'sklearn.manifold.TSNE', 'nltk.stem.porter.PorterStemmer', 'nltk']"
Languages...,37,1240,"['numpy', 'pandas', 'os', 'langdetect.detect', 'tqdm.auto.tqdm', 'glob', 'json', 'collections']"
COVID-19 text mining,45,3545,"['pandas', 'numpy', 'json', 'math', 'glob', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfTransformer', 'scipy.spatial.distance', 'wordcloud.WordCloud', 'nltk', 'nltk.probability.FreqDist', 'nltk.stem.WordNetLemmatizer', 'nltk.corpus.stopwords', 'nltk.stem.PorterStemmer', 'nltk.pos_tag', 'gensim', 'gensim.models.Word2Vec', 'gensim.test.utils.common_texts', 'gensim.models.doc2vec.Doc2Vec', 'gensim.models.doc2vec.TaggedDocument', 'seaborn', 'matplotlib.pyplot', 'string', 'spacy', 'collections.Counter', 'os', 'multiprocessing', 're', 'matplotlib.style', 'sklearn.cluster.KMeans']"
COVID-19 Genome Variations,75,455,"['numpy', 'pandas', 'search_func_py.*']"
COVID19 Temporal Summarization Tool Version 1,116,1564,"['numpy', 'pandas', 'os', 'json', 'p_tqdm.p_map', 'dateparser.search.search_dates', 'pandarallel.pandarallel', 'pickle', 'spacy.tokenizer.Tokenizer', 'spacy.lang.en.English', 'gensim.test.utils.common_texts', 'gensim.test.utils.get_tmpfile', 'multiprocessing', 'gensim.models.Word2Vec', 'time.time#Totimeouroperations', 'nltk', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'collections.defaultdict', 'scipy.spatial', 'matplotlib', 'matplotlib.pyplot', 'matplotlib.pyplot.figure', 'sklearn.manifold.TSNE', 'math', 'sklearn.cluster.KMeans']"
Combine Embedding Data and Citations Article,44,251,"['numpy', 'pandas', 'os', 'scipy', 'scipy.spatial']"
COVID-19 EDA including NLP with Spacy,68,1917,"['os', 'numpy', 'pandas', 'json', 'tqdm.notebook.tqdm', 'matplotlib.pyplot', 'matplotlib.style', 're', 'spacy', 'spacy.matcher.Matcher', 'seaborn']"
Improve quiries using W2V algorithms,146,6757,"['numpy', 'pandas', 'os', 'json', 'nltk.tokenize.RegexpTokenizer', 'nltk.corpus.stopwords', 'nltk', 'gensim.models.Word2Vec', 'gensim', 're']"
Train Fasttext on COVID papers,78,186,"['numpy', 'pandas', 'fasttext', 're', 'os', 'pathlib.Path', 'gc', 'collections.Counter', 'nltk.corpus.stopwords']"
COVID-19 Recent Questions,46,2484,"['numpy', 'pandas', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML', 'nltk.PorterStemmer']"
Exploratory data analysis via NLP,177,1914,"['numpy', 'pandas', 'plotly.express', 'matplotlib.pyplot', 'sklearn.feature_extraction.text.TfidfVectorizer#tf-idfisacommonwayofturningatextintoavectoroftermfrequencies.Textsthataresemanticallyclosewillbecloseinthis(high-dimensional)space', 'sklearn.manifold.TSNE#t-SNEisadimensionalityreductiontoolwhichisoptimizedtopreservedistances', 'sklearn.manifold.i.e.pointsthatarecloseinthehigh-dimensionalspaceshouldbecloseinthelow-dimensionalspaceandviceversa', 'sklearn.cluster.DBSCAN#densitybasedclusteringmethod.Itgroupstogetherpointsthatarecloselypackedtogether(pointswithmanynearbyneighbors)', 'sklearn.cluster.markingasoutlierspointsthatliealoneinlow-densityregions(source:Wikipedia)', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'wordcloud.ImageColorGenerator#fordrawingwordcloudsandalsosettingstopwordsforvectorization']"
Most mentioned antivirals 622022,58,1232,"['pandas', 'numpy', 'json', 'os.path', 're', 'distance', 'matplotlib.pyplot', 'itertools.combinations']"
start with covid-19 data,90,29,"['numpy', 'pandas', 'nltk', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'matplotlib.pyplot', 'nltk.corpus.stopwords', 'string.punctuation', 'nltk.probability.FreqDist', 'json', 'glob']"
COVID-19: data_qa,87,1038,"['numpy', 'pandas', 'json', 'os.path', 'tqdm.notebook.trange', 'tqdm.notebook.tqdm']"
COVID-19,21,520,"['json', 'os', 'pickle']"
COVID-19 Russia details,105,221,"['json', 'random', 'urllib.request.urlopen', 'numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'plotly.express', 'plotly.graph_objs', 'plotly.figure_factory', 'calmap', 'folium', 'pandas.plotting.register_matplotlib_converters', 'warnings', 'IPython.display.Javascript', 'IPython.core.display.display', 'IPython.core.display.HTML']"
